ID,ID,Requerimiento,Tipo,Interesado/s,Minuta,Módulo,Prioridad (MoSCoW),User stories
,,Donde digo que esta pidiendo el usuario,RF,Quien lo pidio o le interesa,Link a la minuta de reunion y/o fecha de la misma,Proyectos,Must,Identificación de la o las User Stories asociadas al requerimiento
1,,Asignar un identificador único a cada proyecto que no sea el nombre.,,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,-
2,,Permitir asociar cada proyecto a un cliente específico o marcarlo como interno.,,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,-
3,,Registrar para cada proyecto fechas de inicio y fin estimadas.,,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,-
4,,Mantener un registro de las horas estimadas totales por proyecto.,,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,-
4,4.1,Calcular automáticamente la estimación total de horas del proyecto como la sumatoria de las horas de todas sus tareas.,,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,-
5,,"Permitir asignar equipos de trabajo, recursos y responsables a cada proyecto.",,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,-
6,,"Proporcionar un tablero visual tipo Kanban para visualizar el estado de los proyectos según etapas (inicio, desarrollo y transición).",,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,-
6,6.1,"Cuando se requiera organizar tareas, permitir clasificarlas según su estado (Iniciada, No iniciada, Terminada).",,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,-
6,6.2,Permitir customizar las columnas del tablero según las necesidades de cada equipo y/o proyecto.,,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,-
7,,Permitir registrar y plasmar los requerimientos de los clientes en tareas.,,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Should,
7,7.1,"Registrar para cada tarea información del proyecto asociado, estado actual, horas estimadas y etiquetas (tags).",,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,
7,7.2,"Permitir modificar las horas estimadas, estado actual y etiquetas por tarea cuando sea necesario.",,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,
8,,"Permitir registrar riesgos asociados a cada proyecto, clasificándolos por impacto en costo y alcance.",,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,
8,8.1,"Para cada riesgo identificado, permitir documentar planes de mitigación y contingencia",,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Could,
9,,"Estimar tiempos iniciales de tareas y proyectos, registrar el tiempo real invertido y permitir ajustes en las estimaciones.",,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Should,
10,,"Distinguir entre proyectos de tipo ""time and material"" y proyectos ""fixed price"".",,Maximiliano Gant,minuta-04-gerencia-operaciones-psa,Proyectos,Must,
10,10.1,"Cuando se registre un cambio de alcance en proyectos ""fixed price"", seguir un proceso de control, permitiendo re-estimar costos y tiempos para aprobación del cliente.",,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Proyectos,Should,
11,,Permitir a los empleados registrar sus horas trabajadas diaria o semanalmente.,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Recursos,Must,
11,11.1,Asignar horas trabajadas a proyectos específicos para calcular costos y facturar al cliente.,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Recursos,Must,
11,11.2,"Permitir visualizar el registro de horas filtrado por proyecto, empleado, intervalo de tiempo y equipo.",,Ricardo Ratio y Maximiliano Gant,minuta-02-gerente-finanzas-psa,Recursos,Must,
11,11.3,Permitir consultar si un equipo está cargando horas y trabajando regularmente.,,Agusto Aguanti y Gustavo Cuchina,minuta-05-area-implmentaciones-psa,Recursos,Must,
12,,"Registrar detalladamente las configuraciones, customizaciones y versión de los projectos realizados para cada cliente.",,Agusto Aguanti y Gustavo Cuchina,minuta-05-area-implmentaciones-psa,Implementaciones,Must,
12,12.1,"Almacenar la documentación de análisis, requerimientos y resultados de las implementaciones.",,Gustavo Cuchina,minuta-05-area-implmentaciones-psa,Implementaciones,Must,
13,,Proporcionar visibilidad sobre el estado de los proyectos de desarrollo que afectan a las implementaciones.,,Gustavo Cuchina,minuta-05-area-implmentaciones-psa,Implementaciones,Must,
14,,"Permitir etiquetar los proyectos con ""tags"" (por cliente, producto o tipo de proyecto) para facilitar su filtrado eficiente.",,Gustavo Cuchina,minuta-05-area-implmentaciones-psa,Implementaciones,Must,
14,14.1,Permitir diferenciar entre proyectos de implementación y desarrollo sin necesidad de relacionarlos directamente.,,Gustavo Cuchina,minuta-05-area-implmentaciones-psa,Implementaciones,Must,
15,,Gestionar tickets de soporte con información detallada sobre cada problematica.,,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Must,
15,15.1,Identificar la versión específica del software del cliente y si incluye customizaciones.,,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Must,-
15,15.2,"Permitir categorizar los tickets por prioridad, severidad, historia, asignación y tiempos asignados.",,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Must,-
15,15.3,"Registrar detalladamente el historial de cada ticket, incluyendo asignaciones, tiempos y acciones tomadas.",,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Must,-
16,,Mostrar y gestionar los acuerdos de nivel de servicio (SLAs) asociados a cada ticket y cliente.,,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Must,-
16,16.1,"Cuando un ticket alcance el 50% del tiempo permitido por el SLA, generar alertas automáticas para prevenir incumplimientos y multas.",,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Should,-
17,,"Soportar la estructura de niveles de soporte, desde el primer nivel que atiende inicialmente al cliente hasta niveles superiores.",,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Should,-
17,17.1,"Cuando se identifique un error de tipo bug o de implementación, permitir elevar el ticket a Ingeniería, asociándolo a una tarea del equipo de desarrollo.",,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Should,-
17,17.2,Cuando se identifique un error de usuario o similar (no bug) permitir elevar el ticket al siguiente eslabón de soporte,,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Should,
17,17.3,Permitir vincular varios tickets de distintos clientes con una misma tarea cuando el error sea común.,RF,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Should,-
17,17.4,Permitir a los ingenieros de soporte crear tareas para los desarrolladores de los proyectos.,,Agusto Aguanti,minuta-03-area-soporte-psa,Soporte,Must,
18,,Integrarse con la gestión de clientes (CRM) y el procesamiento de facturas (ERP).,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Must,
18,18.1,Vincular facturas a proyectos específicos.,,Ricardo Ratio,minuta-02-gerente-finanzas-psa,Finanzas,Must,
